county_fips,Population 2020
21179,"46,738"
21181,"7,537"
21183,"23,772"
21185,"67,607"
21187,"11,278"
21189,"4,051"
21191,"14,644"
21193,"28,473"
21195,"58,669"
21197,"13,129"
21199,"65,034"
21201,"2,193"
21203,"16,037"
21205,"24,662"
21207,"17,991"
21209,"57,155"
21211,"48,065"
21213,"19,594"
21215,"19,490"
21217,"26,023"
21219,"12,243"
21221,"14,061"
21223,"8,474"
21225,"13,668"
21227,"134,554"
21229,"12,027"
21231,"19,555"
21233,"13,017"
21235,"36,712"
21237,"6,562"
21239,"26,871"
22000,"4,657,757"
22001,"57,576"
22003,"22,750"
22005,"126,500"
22007,"21,039"
22009,"39,693"
22011,"36,549"
22013,"12,981"
22015,"128,746"
22017,"237,848"
22019,"216,785"
22021,"9,645"
22023,"5,617"
22025,"8,906"
22027,"14,170"
22029,"18,687"
22031,"26,812"
22033,"456,781"
22035,"7,459"
22037,"19,539"
22039,"32,350"
22041,"19,774"
22043,"22,169"
22045,"69,929"
22047,"30,241"
22049,"15,031"
22051,"440,781"
22053,"32,250"
22055,"241,753"
22057,"97,557"
22059,"14,791"
22061,"48,396"
22063,"142,282"
22065,"10,017"
22067,"25,629"
22069,"37,515"
22071,"383,997"
22073,"160,368"
22075,"23,515"
22077,"20,758"
22079,"130,023"
22081,"7,620"
22083,"20,043"
22085,"22,155"
22087,"43,764"
22089,"52,549"
22091,"10,920"
22093,"20,192"
22095,"42,477"
22097,"82,540"
22099,"51,767"
22101,"49,406"
22103,"264,570"
22105,"133,157"
22107,"4,147"
22109,"109,580"
22111,"21,107"
22113,"57,359"
22115,"48,750"
22117,"45,463"
22119,"36,967"
22121,"27,199"
22123,"9,751"
22125,"15,310"
22127,"13,755"
23000,"1,362,359"
23001,"111,139"
23003,"67,105"
23005,"303,069"
23007,"29,456"
23009,"55,478"
23011,"123,642"
23013,"40,607"
23015,"35,237"
23017,"57,777"
23019,"152,199"
23021,"16,800"
23023,"36,699"
23025,"50,477"
23027,"39,607"
23029,"31,095"
23031,"211,972"
24000,"6,177,224"
24001,"68,106"
24003,"588,261"
24005,"854,535"
24009,"92,783"
24011,"33,293"
24013,"172,891"
24015,"103,725"
24017,"166,617"
24019,"32,531"
24021,"271,717"
24023,"28,806"
24025,"260,924"
24027,"332,317"
24029,"19,198"
24031,"1,062,061"
24033,"967,201"
24035,"49,874"
24037,"113,777"
24039,"24,620"
24041,"37,526"
24043,"154,705"
24045,"103,588"
24047,"52,460"
24510,"585,708"
25000,"7,029,917"
25001,"228,996"
25003,"129,026"
25005,"579,200"
25007,"20,600"
25009,"809,829"
25011,"71,029"
25013,"465,825"
25015,"162,308"
25017,"1,632,002"
25019,"14,255"
25021,"725,981"
25023,"530,819"
25025,"797,936"
25027,"862,111"
26000,"10,077,331"
26001,"10,167"
26003,"8,842"
26005,"120,502"
26007,"28,907"
26009,"23,431"
26011,"15,002"
26013,"8,158"
26015,"62,423"
26017,"103,856"
26019,"17,970"
26021,"154,316"
26023,"44,862"
26025,"134,310"
26027,"51,589"
26029,"26,054"
26031,"25,579"
26033,"36,785"
26035,"30,856"
26037,"79,128"
26039,"12,988"
26041,"36,903"
26043,"25,947"
26045,"109,175"
26047,"34,112"
26049,"406,211"
26051,"25,386"
26053,"14,380"
26055,"95,238"
26057,"41,761"
26059,"45,746"
26061,"37,361"
26063,"31,407"
26065,"284,900"
26067,"66,804"
26069,"25,237"
26071,"11,631"
26073,"64,394"
26075,"160,366"
26077,"261,670"
26079,"17,939"
26081,"657,974"
26083,"2,046"
26085,"12,096"
26087,"88,619"
26089,"22,301"
26091,"99,423"
26093,"193,866"
26095,"5,339"
26097,"10,834"
26099,"881,217"
26101,"25,032"
26103,"66,017"
26105,"29,052"
26107,"39,714"
26109,"23,502"
26111,"83,494"
26113,"15,052"
26115,"154,809"
26117,"66,614"
26119,"9,153"
26121,"175,824"
26123,"49,978"
26125,"1,274,395"
26127,"26,659"
26129,"20,770"
26131,"5,816"
26133,"22,891"
26135,"8,219"
26137,"25,091"
26139,"296,200"
26141,"12,982"
26143,"23,459"
26145,"190,124"
26147,"160,383"
26149,"60,939"
26151,"40,611"
26153,"8,047"
26155,"68,094"
26157,"53,323"
26159,"75,587"
26161,"372,258"
26163,"1,793,561"
26165,"33,673"
27000,"5,706,494"
27001,"15,697"
27003,"363,887"
27005,"35,183"
27007,"46,228"
27009,"41,379"
27011,"5,166"
27013,"69,112"
27015,"25,912"
27017,"36,207"
27019,"106,922"
27021,"30,066"
27023,"12,598"
27025,"56,621"
27027,"65,318"
27029,"8,524"
27031,"5,600"
27033,"11,517"
27035,"66,123"
27037,"439,882"
27039,"20,867"
27041,"39,006"
27043,"13,921"
27045,"21,228"
27047,"30,895"
27049,"47,582"
27051,"6,074"
27053,"1,281,565"
27055,"18,843"
27057,"21,344"
27059,"41,135"
27061,"45,014"
27063,"9,989"
27065,"16,032"
27067,"43,732"
27069,"4,207"
27071,"12,062"
27073,"6,719"
27075,"10,905"
27077,"3,763"
27079,"28,674"
27081,"5,640"
27083,"25,269"
27085,"36,771"
27087,"5,411"
27089,"9,040"
27091,"20,025"
27093,"23,400"
27095,"26,459"
27097,"34,010"
27099,"40,029"
27101,"8,179"
27103,"34,454"
27105,"22,290"
27107,"6,441"
27109,"162,847"
